train/learning_rate,time/fps,train/is_line_search_success,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_objective,rollout/ep_rew_mean,train/value_loss,train/explained_variance,time/total_timesteps,train/std,train/kl_divergence_loss
0.001,2741,1.0,111,331,932.34,0.023718269541859627,-40424.62370833,16464734.782910157,1.1920928955078125e-07,910000,0.8251519203186035,0.006689620669931173
0.001,2742,1.0,112,335,941.4,0.03260503709316254,-39204.95113750999,1513399.511328125,0.0,920000,0.829205334186554,0.009171160869300365
0.001,2742,1.0,113,339,933.55,0.030123911798000336,-36732.973452989994,36558918.525195315,0.0,930000,0.8243088722229004,0.008993749506771564
0.001,2743,1.0,114,342,934.55,0.035127438604831696,-40894.99369,2160314.8439453123,0.0,940000,0.8288102149963379,0.008342999033629894
0.001,2745,1.0,115,346,948.73,0.03267711028456688,-57447.82106853,514553303.21875,0.0,950000,0.8283516764640808,0.006471958011388779
0.001,2739,1.0,117,350,934.09,0.0308757983148098,-56274.91576222,26726480.67714844,0.0,960000,0.8316927552223206,0.008455968461930752
0.001,2740,1.0,118,353,915.13,0.041048310697078705,-77743.28146051998,183462244.178125,1.1920928955078125e-07,970000,0.8322998881340027,0.00843313429504633
0.001,2742,1.0,119,357,918.38,0.0333213210105896,-80664.3845074,14725648.462304687,5.960464477539063e-08,980000,0.832404613494873,0.008901150897145271
0.001,2743,1.0,120,360,900.86,0.036016806960105896,-71289.62804705999,49374247.1609375,0.0,990000,0.8306033611297607,0.008767387829720974
0.001,2738,1.0,122,365,894.63,0.029010262340307236,-71094.14939173,17721931.951464843,1.1920928955078125e-07,1000000,0.8274471163749695,0.009270471520721912
